cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
2.0,0.4,0.996,0.998,0.997,0.997,0.961,0.99,0.975,0.975,0.965,0.992,0.978,0.978
2.0,0.5,0.955,0.986,0.97,0.97,0.939,0.978,0.958,0.957,0.982,0.992,0.987,0.987
2.0,0.6,0.941,0.952,0.946,0.946,0.927,0.934,0.93,0.93,0.985,0.981,0.983,0.983
2.0,0.7,0.92,0.942,0.931,0.93,0.893,0.948,0.919,0.917,0.97,1.006,0.988,0.986
2.0,0.8,0.893,0.904,0.899,0.898,0.869,0.902,0.885,0.883,0.973,0.998,0.985,0.983
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,0.998,1.0,0.999,0.999,0.994,1.0,0.997,0.997,0.996,1.0,0.998,0.998
2.5,0.5,0.994,0.992,0.993,0.993,0.996,0.992,0.994,0.994,1.002,1.0,1.001,1.001
2.5,0.6,0.99,0.978,0.984,0.984,0.974,0.972,0.973,0.973,0.984,0.994,0.989,0.989
2.5,0.7,0.955,0.974,0.964,0.964,0.94,0.97,0.955,0.954,0.984,0.996,0.99,0.99
2.5,0.8,0.94,0.964,0.952,0.951,0.924,0.95,0.937,0.936,0.984,0.985,0.985,0.984
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.5,1.0,1.0,1.0,1.0,0.996,1.0,0.998,0.998,0.996,1.0,0.998,0.998
3.0,0.6,0.998,0.998,0.998,0.998,0.996,0.992,0.994,0.994,0.998,0.994,0.996,0.996
3.0,0.7,0.978,0.994,0.986,0.986,0.972,0.99,0.981,0.981,0.994,0.996,0.995,0.995
3.0,0.8,0.978,0.984,0.981,0.981,0.948,0.98,0.964,0.963,0.969,0.996,0.982,0.982
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.6,1.0,0.998,0.999,0.999,0.988,0.998,0.993,0.993,0.988,1.0,0.994,0.994
3.5,0.7,0.994,0.99,0.992,0.992,0.99,0.988,0.989,0.989,0.996,0.998,0.997,0.997
3.5,0.8,0.992,0.986,0.989,0.989,0.976,0.994,0.985,0.985,0.984,1.008,0.996,0.996
