method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
Agglomerative (Hierarchical),0.0,0.6000000000000001,0.4847715736040609,0.382,0.4272930648769575,0.488,0.4673202614379085,0.286,0.3548387096774194,0.48,0.9640009581494029,0.7486910994764397,0.8304340483026516,0.9836065573770492
GMM (Probabilistic),0.0,0.6000000000000001,0.509469696969697,0.538,0.5233463035019456,0.51,0.5,0.502,0.500998003992016,0.5,0.9814126394052044,0.933085501858736,0.9572973013081644,0.9803921568627451
SOM,0.0,0.7000000000000002,0.4847250509164969,0.476,0.4803229061553986,0.485,0.5050301810865191,0.502,0.5035105315947843,0.505,1.0418899954347935,1.0546218487394958,1.0482750773328389,1.041237113402062
K-Means (Exclusive),0.0,0.7000000000000002,0.49029982363315694,0.556,0.521087160262418,0.489,0.5105042016806722,0.486,0.4979508196721312,0.51,1.041208209902666,0.8741007194244603,0.9555998643707986,1.0429447852760736
DBSCAN (Density),0.0,0.7000000000000002,0.29411764705882354,0.01,0.019342359767891684,0.493,0.5,1.0,0.6666666666666666,0.5,1.7,100.0,34.46666666666666,1.0141987829614605
Agglomerative (Hierarchical),0.0,0.7000000000000002,0.5127551020408163,0.402,0.45067264573991034,0.51,0.47075208913649025,0.338,0.39348079161816063,0.479,0.9180836763258915,0.8407960199004976,0.8730966818990031,0.9392156862745098
GMM (Probabilistic),0.0,0.7000000000000002,0.49763779527559054,0.632,0.5568281938325991,0.497,0.512249443207127,0.46,0.48472075869336145,0.511,1.029362014039638,0.7278481012658228,0.8705032612610211,1.028169014084507
SOM,0.0,0.8000000000000003,0.47568710359408034,0.45,0.4624871531346352,0.477,0.5034802784222738,0.434,0.46616541353383456,0.503,1.0584274297499356,0.9644444444444444,1.0079532163742688,1.0545073375262055
K-Means (Exclusive),0.0,0.8000000000000003,0.5057251908396947,0.53,0.517578125,0.506,0.4904214559386973,0.512,0.5009784735812133,0.49,0.969739029856141,0.9660377358490566,0.9679282206550234,0.9683794466403162
DBSCAN (Density),0.0,0.8000000000000003,0.7692307692307693,0.02,0.03898635477582846,0.507,0.5005025125628141,0.996,0.6662207357859532,0.501,0.6506532663316583,49.8,17.0885618729097,0.9881656804733727
Agglomerative (Hierarchical),0.0,0.8000000000000003,0.5034013605442177,0.592,0.5441176470588235,0.504,0.453781512605042,0.432,0.4426229508196721,0.456,0.9014308426073132,0.7297297297297297,0.8134692069118299,0.9047619047619048
GMM (Probabilistic),0.0,0.8000000000000003,0.5009009009009009,0.556,0.5270142180094787,0.501,0.4971857410881801,0.53,0.5130687318489835,0.497,0.9925830442587769,0.9532374100719424,0.9735386908285568,0.9920159680638723
SOM,0.5,0.2,0.3787878787878788,0.3,0.33482142857142855,0.404,0.4957627118644068,0.468,0.48148148148148145,0.496,1.308813559322034,1.56,1.4380246913580248,1.2277227722772277
K-Means (Exclusive),0.5,0.2,0.9384615384615385,0.976,0.9568627450980393,0.956,0.46540880503144655,0.444,0.45445240532241554,0.467,0.49592741519744304,0.45491803278688525,0.4749400137590818,0.48849372384937245
DBSCAN (Density),0.5,0.2,0.5,0.002,0.00398406374501992,0.5,0.5025125628140703,1.0,0.6688963210702341,0.505,1.0050251256281406,500.0,167.89297658862876,1.01
Agglomerative (Hierarchical),0.5,0.2,0.9619450317124736,0.91,0.935251798561151,0.937,0.45569620253164556,0.36,0.4022346368715084,0.465,0.47372374460982053,0.3956043956043956,0.43008165019338207,0.49626467449306294
GMM (Probabilistic),0.5,0.2,0.9266917293233082,0.986,0.9554263565891473,0.954,0.45076586433260396,0.412,0.43051201671891326,0.455,0.4864248272311264,0.41784989858012167,0.4505967558356171,0.47693920335429774
SOM,0.5,0.30000000000000004,0.20640569395017794,0.116,0.14852752880921896,0.335,0.4824120603015075,0.384,0.42761692650334077,0.486,2.3372032576676482,3.310344827586207,2.879041548268182,1.4507462686567163
K-Means (Exclusive),0.5,0.30000000000000004,0.8904382470119522,0.894,0.8922155688622755,0.892,0.5245579567779961,0.534,0.5292368681863231,0.525,0.589100882108622,0.5973154362416108,0.5931715234034628,0.5885650224215246
DBSCAN (Density),0.5,0.30000000000000004,0.5,0.006,0.011857707509881422,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,166.66666666666666,56.22222222222222,1.0
Agglomerative (Hierarchical),0.5,0.30000000000000004,0.0364741641337386,0.024,0.028950542822677925,0.195,0.5122549019607843,0.418,0.460352422907489,0.51,14.044321895424837,17.416666666666664,15.901339941262849,2.6153846153846154
GMM (Probabilistic),0.5,0.30000000000000004,0.8891089108910891,0.898,0.8935323383084577,0.893,0.5392354124748491,0.536,0.5376128385155466,0.539,0.6064897178169237,0.5968819599109132,0.6016713838620539,0.6035834266517357
SOM,0.5,0.4000000000000001,0.4223744292237443,0.37,0.39445628997867804,0.432,0.45774647887323944,0.39,0.42116630669546434,0.464,1.0837457175485345,1.0540540540540542,1.0677135018387718,1.0740740740740742
K-Means (Exclusive),0.5,0.4000000000000001,0.8062622309197651,0.824,0.8150346191889218,0.813,0.46153846153846156,0.42,0.4397905759162304,0.465,0.5724421209858104,0.5097087378640777,0.5395974177807147,0.5719557195571956
DBSCAN (Density),0.5,0.4000000000000001,0.42857142857142855,0.012,0.023346303501945526,0.498,0.5,1.0,0.6666666666666666,0.5,1.1666666666666667,83.33333333333333,28.555555555555554,1.0040160642570282
Agglomerative (Hierarchical),0.5,0.4000000000000001,0.13819095477386933,0.11,0.12249443207126949,0.212,0.5725190839694656,0.45,0.503919372900336,0.557,4.142956280360861,4.090909090909091,4.113814516950015,2.627358490566038
GMM (Probabilistic),0.5,0.4000000000000001,0.8067061143984221,0.818,0.8123138033763655,0.811,0.4346793349168646,0.366,0.3973941368078176,0.445,0.5388323295913212,0.4474327628361858,0.4892125865103573,0.5487053020961775
SOM,0.5,0.5000000000000001,0.43953488372093025,0.378,0.4064516129032258,0.448,0.4959016393442623,0.484,0.4898785425101215,0.496,1.1282418249631363,1.2804232804232805,1.2052567315725211,1.1071428571428572
K-Means (Exclusive),0.5,0.5000000000000001,0.7782340862422998,0.758,0.767983789260385,0.771,0.5021186440677966,0.474,0.4876543209876543,0.502,0.6452025848575644,0.62532981530343,0.634979966774162,0.6511024643320363
DBSCAN (Density),0.5,0.5000000000000001,0.5454545454545454,0.012,0.023483365949119372,0.501,0.5,0.994,0.6653279785809906,0.5,0.9166666666666667,82.83333333333333,28.331883087907183,0.998003992015968
Agglomerative (Hierarchical),0.5,0.5000000000000001,0.2627118644067797,0.248,0.2551440329218107,0.276,0.4363207547169811,0.37,0.4004329004329004,0.446,1.6608338405356053,1.4919354838709677,1.5694386258902386,1.615942028985507
GMM (Probabilistic),0.5,0.5000000000000001,0.7807933194154488,0.748,0.7640449438202247,0.769,0.4684095860566449,0.43,0.4483837330552659,0.471,0.5999149511260239,0.5748663101604278,0.5868551800282157,0.612483745123537
SOM,0.5,0.6000000000000001,0.421978021978022,0.384,0.40209424083769635,0.429,0.4580498866213152,0.404,0.4293304994686504,0.463,1.0854828042328042,1.0520833333333335,1.067736007793128,1.0792540792540792
K-Means (Exclusive),0.5,0.6000000000000001,0.6899810964083176,0.73,0.7094266277939747,0.701,0.5178907721280602,0.55,0.533462657613967,0.519,0.7505868998787503,0.7534246575342467,0.7519631160065372,0.7403708987161199
DBSCAN (Density),0.5,0.6000000000000001,0.4166666666666667,0.01,0.01953125,0.498,0.5,1.0,0.6666666666666666,0.5,1.2,100.0,34.13333333333333,1.0040160642570282
Agglomerative (Hierarchical),0.5,0.6000000000000001,0.3285123966942149,0.318,0.3231707317073171,0.334,0.5016835016835017,0.298,0.3739021329987453,0.501,1.527137200093175,0.9371069182389936,1.156980185128193,1.5
GMM (Probabilistic),0.5,0.6000000000000001,0.673992673992674,0.736,0.7036328871892925,0.69,0.5371428571428571,0.564,0.5502439024390244,0.539,0.7969565217391303,0.7663043478260869,0.7820042417815484,0.7811594202898552
SOM,0.5,0.7000000000000002,0.5537340619307832,0.608,0.5795996186844614,0.559,0.5174418604651163,0.534,0.5255905511811023,0.518,0.9344591493268055,0.8782894736842106,0.9068165924160795,0.9266547406082289
K-Means (Exclusive),0.5,0.7000000000000002,0.6784922394678492,0.612,0.6435331230283912,0.661,0.5245579567779961,0.534,0.5292368681863231,0.525,0.7731230016564583,0.8725490196078433,0.8223925843875707,0.794251134644478
DBSCAN (Density),0.5,0.7000000000000002,0.5333333333333333,0.016,0.031067961165048542,0.501,0.4984924623115578,0.992,0.6635451505016723,0.497,0.9346733668341709,62.0,21.35785953177258,0.9920159680638723
Agglomerative (Hierarchical),0.5,0.7000000000000002,0.39400428265524623,0.368,0.38055842812823165,0.401,0.4074074074074074,0.352,0.3776824034334764,0.42,1.0340177133655395,0.9565217391304347,0.9924426198917708,1.0473815461346632
GMM (Probabilistic),0.5,0.7000000000000002,0.6959798994974874,0.554,0.6169265033407573,0.656,0.5215759849906192,0.556,0.5382381413359149,0.523,0.7494124260876045,1.0036101083032491,0.8724509944398042,0.7972560975609756
SOM,0.5,0.8000000000000003,0.4963680387409201,0.41,0.44906900328587074,0.497,0.5038314176245211,0.526,0.5146771037181996,0.504,1.0150359779459863,1.2829268292682927,1.1460980382797958,1.0140845070422535
K-Means (Exclusive),0.5,0.8000000000000003,0.5424354243542435,0.588,0.564299424184261,0.546,0.3888888888888889,0.364,0.3760330578512397,0.396,0.716931216931217,0.6190476190476191,0.6663715072805982,0.7252747252747253
DBSCAN (Density),0.5,0.8000000000000003,0.4666666666666667,0.014,0.027184466019417475,0.499,0.4994974874371859,0.994,0.6648829431438127,0.499,1.0703517587939697,71.0,24.45819397993311,1.0
Agglomerative (Hierarchical),0.5,0.8000000000000003,0.33874709976798145,0.292,0.31364124597207305,0.361,0.5298329355608592,0.444,0.48313384113166485,0.525,1.564095857717331,1.5205479452054795,1.540402760594452,1.4542936288088644
GMM (Probabilistic),0.5,0.8000000000000003,0.5396551724137931,0.626,0.5796296296296296,0.546,0.4175531914893617,0.314,0.3584474885844749,0.438,0.7737407382230983,0.5015974440894568,0.6184078077815222,0.8021978021978021
SOM,1.0,0.2,0.21779141104294478,0.142,0.17191283292978207,0.316,0.5129449838187702,0.634,0.5670840787119857,0.516,2.3552121792242127,4.464788732394367,3.29867217616972,1.6329113924050633
K-Means (Exclusive),1.0,0.2,0.998003992015968,1.0,0.999000999000999,0.999,0.998003992015968,1.0,0.999000999000999,0.999,1.0,1.0,1.0,1.0
DBSCAN (Density),1.0,0.2,0.998003992015968,1.0,0.999000999000999,0.999,0.49842602308499473,0.95,0.653819683413627,0.497,0.49942287513116473,0.95,0.6544735030970406,0.4974974974974975
Agglomerative (Hierarchical),1.0,0.2,0.0,0.0,0.0,0.001,0.22524752475247525,0.182,0.2013274336283186,0.278,0.0,0.0,0.0,278.0
GMM (Probabilistic),1.0,0.2,0.998003992015968,1.0,0.999000999000999,0.999,0.998003992015968,1.0,0.999000999000999,0.999,1.0,1.0,1.0,1.0
SOM,1.0,0.30000000000000004,0.25872093023255816,0.178,0.2109004739336493,0.334,0.5622489959839357,0.56,0.561122244488978,0.562,2.17318713054465,3.1460674157303377,2.6606021030825695,1.6826347305389222
K-Means (Exclusive),1.0,0.30000000000000004,0.9880239520958084,0.99,0.989010989010989,0.989,0.4946236559139785,0.46,0.47668393782383417,0.495,0.5006190941674813,0.4646464646464647,0.48198042602187674,0.5005055611729019
DBSCAN (Density),1.0,0.30000000000000004,0.5,0.002,0.00398406374501992,0.5,0.5025125628140703,1.0,0.6688963210702341,0.505,1.0050251256281406,500.0,167.89297658862876,1.01
Agglomerative (Hierarchical),1.0,0.30000000000000004,0.018,0.018,0.018,0.018,0.9388646288209607,0.86,0.8977035490605428,0.902,52.15914604560893,47.77777777777778,49.87241939225238,50.111111111111114
GMM (Probabilistic),1.0,0.30000000000000004,0.9899799599198397,0.988,0.988988988988989,0.989,0.4731934731934732,0.406,0.4370290635091496,0.477,0.47798288081688894,0.4109311740890689,0.4418947717061138,0.48230535894843274
SOM,1.0,0.4000000000000001,0.3806646525679758,0.252,0.30324909747292417,0.421,0.5205183585313174,0.482,0.5005192107995846,0.519,1.3673934656656037,1.9126984126984126,1.6505216832319636,1.2327790973871735
K-Means (Exclusive),1.0,0.4000000000000001,0.9675456389452333,0.954,0.9607250755287009,0.961,0.6470588235294118,0.66,0.6534653465346535,0.65,0.6687631027253669,0.6918238993710693,0.6801793386885858,0.676378772112383
DBSCAN (Density),1.0,0.4000000000000001,0.6666666666666666,0.008,0.015810276679841896,0.502,0.5015075376884423,0.998,0.6675585284280936,0.503,0.7522613065326634,124.75,42.223076923076924,1.00199203187251
Agglomerative (Hierarchical),1.0,0.4000000000000001,0.023706896551724137,0.022,0.022821576763485476,0.058,0.14528301886792452,0.154,0.14951456310679612,0.124,6.128301886792453,7.0,6.551456310679612,2.1379310344827585
GMM (Probabilistic),1.0,0.4000000000000001,0.9659318637274549,0.964,0.964964964964965,0.965,0.6889763779527559,0.7,0.6944444444444444,0.692,0.7132763746855295,0.7261410788381742,0.7196576763485477,0.7170984455958549
SOM,1.0,0.5000000000000001,0.37228260869565216,0.274,0.315668202764977,0.406,0.5284872298624754,0.538,0.533201189296333,0.529,1.4195861356889852,1.9635036496350364,1.68911909601904,1.3029556650246306
K-Means (Exclusive),1.0,0.5000000000000001,0.9166666666666666,0.924,0.9203187250996016,0.92,0.563953488372093,0.582,0.5728346456692913,0.566,0.6152219873150105,0.6298701298701298,0.6224307188874119,0.6152173913043477
DBSCAN (Density),1.0,0.5000000000000001,0.3333333333333333,0.002,0.003976143141153081,0.499,0.5,1.0,0.6666666666666666,0.5,1.5,500.0,167.66666666666669,1.002004008016032
Agglomerative (Hierarchical),1.0,0.5000000000000001,0.06382978723404255,0.054,0.05850487540628386,0.131,0.8883610451306413,0.748,0.8121606948968513,0.827,13.917656373713381,13.851851851851851,13.881931877588773,6.31297709923664
GMM (Probabilistic),1.0,0.5000000000000001,0.9114173228346457,0.926,0.9186507936507936,0.918,0.5410447761194029,0.58,0.5598455598455598,0.544,0.5936301215305759,0.6263498920086392,0.6094215165489464,0.5925925925925926
SOM,1.0,0.6000000000000001,0.3303030303030303,0.218,0.26265060240963856,0.388,0.4190283400809717,0.414,0.4164989939637827,0.42,1.2686179103368866,1.8990825688073394,1.5857530504125672,1.0824742268041236
K-Means (Exclusive),1.0,0.6000000000000001,0.8654618473895582,0.862,0.8637274549098196,0.864,0.834319526627219,0.846,0.8401191658391262,0.839,0.9640165296063923,0.9814385150812065,0.9726669692661809,0.9710648148148148
DBSCAN (Density),1.0,0.6000000000000001,0.8,0.016,0.03137254901960784,0.506,0.5,1.0,0.6666666666666666,0.5,0.625,62.5,21.25,0.9881422924901185
Agglomerative (Hierarchical),1.0,0.6000000000000001,0.11395348837209303,0.098,0.1053763440860215,0.168,0.1726027397260274,0.126,0.14566473988439307,0.261,1.5146771037181996,1.2857142857142856,1.3823286540049546,1.5535714285714286
GMM (Probabilistic),1.0,0.6000000000000001,0.868421052631579,0.858,0.8631790744466801,0.864,0.8526522593320236,0.868,0.8602576808721506,0.859,0.9818419955944514,1.0116550116550116,0.9966155417096942,0.9942129629629629
SOM,1.0,0.7000000000000002,0.612736660929432,0.712,0.6586493987049029,0.631,0.3690773067331671,0.296,0.32852386237513875,0.395,0.6023424584605901,0.4157303370786517,0.49878412251056875,0.6259904912836767
K-Means (Exclusive),1.0,0.7000000000000002,0.8571428571428571,0.84,0.8484848484848485,0.85,0.8061224489795918,0.79,0.797979797979798,0.8,0.9404761904761906,0.9404761904761906,0.9404761904761905,0.9411764705882354
DBSCAN (Density),1.0,0.7000000000000002,0.6666666666666666,0.016,0.03125,0.504,0.4994974874371859,0.994,0.6648829431438127,0.499,0.7492462311557789,62.125,21.276254180602006,0.9900793650793651
Agglomerative (Hierarchical),1.0,0.7000000000000002,0.9207920792079208,0.558,0.6948941469489415,0.755,0.8174807197943444,0.636,0.7154105736782902,0.747,0.8878016419271912,1.139784946236559,1.0295245352395466,0.9894039735099338
GMM (Probabilistic),1.0,0.7000000000000002,0.8577405857740585,0.82,0.8384458077709611,0.842,0.8255578093306288,0.814,0.8197381671701913,0.821,0.9624795923415624,0.9926829268292683,0.9776877164542038,0.9750593824228029
SOM,1.0,0.8000000000000003,0.5496323529411765,0.598,0.5727969348659003,0.554,0.5458248472505092,0.536,0.5408678102926338,0.545,0.9930726317868794,0.8963210702341138,0.9442575149590463,0.983754512635379
K-Means (Exclusive),1.0,0.8000000000000003,0.19498069498069498,0.202,0.19842829076620824,0.184,0.2380038387715931,0.248,0.24289911851126347,0.227,1.220653351323616,1.2277227722772277,1.2241153596260703,1.233695652173913
DBSCAN (Density),1.0,0.8000000000000003,0.6190476190476191,0.026,0.04990403071017274,0.505,0.5,1.0,0.6666666666666666,0.5,0.8076923076923077,38.46153846153846,13.35897435897436,0.9900990099009901
Agglomerative (Hierarchical),1.0,0.8000000000000003,0.6962457337883959,0.816,0.7513812154696132,0.73,0.8067885117493473,0.618,0.6998867497168743,0.735,1.1587697742282292,0.7573529411764707,0.9314669242555459,1.0068493150684932
GMM (Probabilistic),1.0,0.8000000000000003,0.195357833655706,0.202,0.19862340216322516,0.185,0.24427480916030533,0.256,0.25,0.232,1.2503967954047313,1.2673267326732673,1.2586633663366338,1.2540540540540541
SOM,1.5,0.2,0.7363770250368189,1.0,0.8481764206955047,0.821,0.36074270557029176,0.272,0.31014823261117447,0.395,0.4898885941644562,0.272,0.3656647662485747,0.4811205846528624
K-Means (Exclusive),1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DBSCAN (Density),1.5,0.2,1.0,1.0,1.0,1.0,0.49736008447729674,0.942,0.6510020732550104,0.495,0.49736008447729674,0.942,0.6510020732550104,0.495
Agglomerative (Hierarchical),1.5,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
GMM (Probabilistic),1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1.5,0.30000000000000004,0.020905923344947737,0.012,0.015247776365946633,0.225,0.4044943820224719,0.36,0.38095238095238093,0.415,19.34831460674157,30.0,24.98412698412698,1.8444444444444443
K-Means (Exclusive),1.5,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DBSCAN (Density),1.5,0.30000000000000004,0.0,0.0,0.0,0.5,0.5036119711042312,0.976,0.6643975493533015,0.507,0.0,0.0,0.0,1.014
Agglomerative (Hierarchical),1.5,0.30000000000000004,0.0,0.0,0.0,0.0,0.00398406374501992,0.004,0.003992015968063872,0.002,0.0,0.0,0.0,0.0
GMM (Probabilistic),1.5,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1.5,0.4000000000000001,0.657762938230384,0.788,0.7170154686078253,0.689,0.6019607843137255,0.614,0.6079207920792079,0.604,0.9151637304668059,0.7791878172588832,0.8478489219480324,0.8766328011611031
K-Means (Exclusive),1.5,0.4000000000000001,0.998003992015968,1.0,0.999000999000999,0.999,1.0,0.992,0.9959839357429718,0.996,1.002,0.992,0.9969799196787148,0.996996996996997
DBSCAN (Density),1.5,0.4000000000000001,1.0,0.004,0.00796812749003984,0.502,0.49746192893401014,0.98,0.6599326599326599,0.495,0.49746192893401014,245.0,82.82154882154882,0.9860557768924303
Agglomerative (Hierarchical),1.5,0.4000000000000001,0.013806706114398421,0.014,0.013902681231380337,0.007,0.9940239043824701,0.998,0.9960079840319361,0.996,71.9957313602732,71.28571428571428,71.64143142286855,142.28571428571428
GMM (Probabilistic),1.5,0.4000000000000001,1.0,0.998,0.998998998998999,0.999,0.998,0.998,0.998,0.998,0.998,1.0,0.999,0.998998998998999
SOM,1.5,0.5000000000000001,0.5052192066805845,0.484,0.4943820224719101,0.505,0.22330097087378642,0.138,0.17058096415327564,0.329,0.44198828532456075,0.2851239669421488,0.34503876840094394,0.6514851485148515
K-Means (Exclusive),1.5,0.5000000000000001,0.9938900203665988,0.976,0.9848637739656912,0.985,0.9816700610997964,0.964,0.9727547931382442,0.973,0.9877049180327869,0.9877049180327869,0.9877049180327868,0.9878172588832487
DBSCAN (Density),1.5,0.5000000000000001,0.6666666666666666,0.004,0.007952286282306162,0.501,0.5025125628140703,1.0,0.6688963210702341,0.505,0.7537688442211055,250.0,84.11371237458195,1.0079840319361277
Agglomerative (Hierarchical),1.5,0.5000000000000001,0.9978768577494692,0.94,0.9680741503604532,0.969,0.0326530612244898,0.032,0.03232323232323232,0.042,0.03272253582283978,0.03404255319148936,0.033389211261551685,0.043343653250773995
GMM (Probabilistic),1.5,0.5000000000000001,0.991869918699187,0.976,0.9838709677419355,0.984,0.991869918699187,0.976,0.9838709677419355,0.984,1.0,1.0,1.0,1.0
SOM,1.5,0.6000000000000001,0.18309859154929578,0.13,0.15204678362573099,0.275,0.3033033033033033,0.202,0.2424969987995198,0.369,1.6565026565026564,1.5538461538461539,1.5948841074891495,1.3418181818181818
K-Means (Exclusive),1.5,0.6000000000000001,0.9653061224489796,0.946,0.9555555555555556,0.956,0.9423459244532804,0.948,0.9451645064805583,0.945,0.9762145940425103,1.0021141649048626,0.9891256463168633,0.9884937238493724
DBSCAN (Density),1.5,0.6000000000000001,0.5,0.006,0.011857707509881422,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,166.66666666666666,56.22222222222222,1.0
Agglomerative (Hierarchical),1.5,0.6000000000000001,0.9690721649484536,0.94,0.9543147208121827,0.955,0.036093418259023353,0.034,0.035015447991761074,0.063,0.03724533586303474,0.03617021276595745,0.03669171943817517,0.06596858638743455
GMM (Probabilistic),1.5,0.6000000000000001,0.9653061224489796,0.946,0.9555555555555556,0.956,0.9633401221995926,0.946,0.9545913218970736,0.955,0.9979633401221996,1.0,0.9989909182643794,0.9989539748953975
SOM,1.5,0.7000000000000002,0.504950495049505,0.51,0.5074626865671642,0.505,0.34097421203438394,0.238,0.28032979976442873,0.389,0.6752626552053486,0.4666666666666666,0.5524146054181389,0.7702970297029703
K-Means (Exclusive),1.5,0.7000000000000002,0.9434343434343434,0.934,0.9386934673366835,0.939,0.9344262295081968,0.912,0.9230769230769231,0.924,0.9904517850247482,0.9764453961456102,0.9833635315434031,0.9840255591054314
DBSCAN (Density),1.5,0.7000000000000002,0.25,0.002,0.003968253968253968,0.498,0.5,1.0,0.6666666666666666,0.5,2.0,500.0,168.0,1.0040160642570282
