cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
1.0,0.6,0.814,0.858,0.835,0.831,0.781,0.834,0.807,0.8,0.959,0.972,0.965,0.963
1.0,0.7,0.777,0.768,0.773,0.774,0.736,0.76,0.748,0.744,0.947,0.99,0.968,0.961
1.0,0.8,0.743,0.802,0.771,0.762,0.722,0.774,0.747,0.738,0.972,0.965,0.969,0.969
1.5,0.2,1.0,1.0,1.0,1.0,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998
1.5,0.3,0.994,0.998,0.996,0.996,0.945,0.992,0.968,0.967,0.95,0.994,0.972,0.971
1.5,0.4,0.988,0.968,0.978,0.978,0.941,0.96,0.95,0.95,0.953,0.992,0.972,0.971
1.5,0.5,0.922,0.94,0.931,0.93,0.903,0.936,0.919,0.918,0.98,0.996,0.988,0.987
1.5,0.6,0.921,0.908,0.914,0.915,0.846,0.912,0.878,0.873,0.919,1.004,0.96,0.954
1.5,0.7,0.871,0.904,0.887,0.885,0.855,0.864,0.86,0.859,0.982,0.956,0.969,0.971
1.5,0.8,0.813,0.868,0.839,0.834,0.819,0.84,0.829,0.827,1.007,0.968,0.988,0.992
2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.3,1.0,1.0,1.0,1.0,0.998,0.994,0.996,0.996,0.998,0.994,0.996,0.996
2.0,0.4,0.99,0.998,0.994,0.994,0.974,0.99,0.982,0.982,0.984,0.992,0.988,0.988
2.0,0.5,0.972,0.98,0.976,0.976,0.951,0.974,0.962,0.962,0.978,0.994,0.986,0.986
2.0,0.6,0.939,0.958,0.949,0.948,0.927,0.944,0.936,0.935,0.987,0.985,0.986,0.986
2.0,0.7,0.936,0.934,0.935,0.935,0.888,0.94,0.914,0.911,0.949,1.006,0.977,0.974
2.0,0.8,0.898,0.902,0.9,0.9,0.878,0.904,0.891,0.889,0.977,1.002,0.989,0.988
2.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.5,0.4,1.0,1.0,1.0,1.0,0.996,1.0,0.998,0.998,0.996,1.0,0.998,0.998
2.5,0.5,0.992,0.998,0.995,0.995,0.984,0.992,0.988,0.988,0.992,0.994,0.993,0.993
2.5,0.6,0.984,0.984,0.984,0.984,0.972,0.974,0.973,0.973,0.988,0.99,0.989,0.989
2.5,0.7,0.964,0.976,0.97,0.97,0.953,0.968,0.96,0.96,0.988,0.992,0.99,0.99
2.5,0.8,0.941,0.958,0.949,0.949,0.923,0.96,0.941,0.94,0.981,1.002,0.991,0.991
3.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.4,1.0,1.0,1.0,1.0,0.998,1.0,0.999,0.999,0.998,1.0,0.999,0.999
3.0,0.5,0.996,1.0,0.998,0.998,0.996,0.996,0.996,0.996,1.0,0.996,0.998,0.998
3.0,0.6,0.996,1.0,0.998,0.998,0.975,1.0,0.987,0.987,0.979,1.0,0.989,0.989
3.0,0.7,0.982,0.994,0.988,0.988,0.982,0.986,0.984,0.984,1.0,0.992,0.996,0.996
3.0,0.8,0.97,0.972,0.971,0.971,0.955,0.968,0.961,0.961,0.984,0.996,0.99,0.99
3.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.5,0.6,0.996,0.998,0.997,0.997,0.994,0.994,0.994,0.994,0.998,0.996,0.997,0.997
3.5,0.7,0.992,0.994,0.993,0.993,0.99,0.992,0.991,0.991,0.998,0.998,0.998,0.998
3.5,0.8,0.99,0.984,0.987,0.987,0.974,0.978,0.976,0.976,0.984,0.994,0.989,0.989
