method,cluster_distance,cluster_std,simple_precision,simple_recall,simple_f1,simple_accuracy,extended_precision,extended_recall,extended_f1,extended_accuracy,precision_ratio,recall_ratio,f1_ratio,accuracy_ratio
K-Means (Exclusive),0.0,0.4000000000000001,0.501953125,0.514,0.5079051383399209,0.502,0.49416342412451364,0.508,0.5009861932938856,0.494,0.9844812184893035,0.9883268482490273,0.9863774856292068,0.9840637450199203
DBSCAN (Density),0.0,0.4000000000000001,0.4444444444444444,0.008,0.015717092337917484,0.499,0.4994974874371859,0.994,0.6648829431438127,0.499,1.1238693467336685,124.25,42.303177257525086,1.0
Agglomerative (Hierarchical),0.0,0.4000000000000001,0.5049261083743842,0.41,0.45253863134657835,0.504,0.4955116696588869,0.552,0.522232734153264,0.495,0.9813548189341857,1.3463414634146342,1.1540069686411152,0.9821428571428571
GMM (Probabilistic),0.0,0.4000000000000001,0.4990583804143126,0.53,0.5140640155189137,0.499,0.4896810506566604,0.522,0.505324298160697,0.489,0.9812099543346667,0.9849056603773585,0.9829987762333559,0.9799599198396793
SOM,0.0,0.5000000000000001,0.5070422535211268,0.432,0.46652267818574517,0.506,0.4831223628691983,0.458,0.4702258726899384,0.484,0.9528246601031412,1.0601851851851853,1.007937865997414,0.9565217391304347
K-Means (Exclusive),0.0,0.5000000000000001,0.4887525562372188,0.478,0.4833164812942366,0.489,0.5047984644913628,0.526,0.515181194906954,0.505,1.0328303311141271,1.100418410041841,1.0659292923911663,1.032719836400818
DBSCAN (Density),0.0,0.5000000000000001,0.5,0.016,0.031007751937984496,0.5,0.5015075376884423,0.998,0.6675585284280936,0.503,1.0030150753768845,62.375,21.528762541806017,1.006
Agglomerative (Hierarchical),0.0,0.5000000000000001,0.5169491525423728,0.488,0.5020576131687243,0.516,0.5454545454545454,0.324,0.4065244667503137,0.527,1.0551415797317436,0.6639344262295083,0.8097167657403788,1.0213178294573644
GMM (Probabilistic),0.0,0.5000000000000001,0.48440748440748443,0.466,0.4750254841997961,0.485,0.5038759689922481,0.52,0.5118110236220472,0.504,1.0401903050870014,1.1158798283261802,1.0774390862086445,1.0391752577319588
SOM,0.0,0.6000000000000001,0.49700598802395207,0.498,0.4975024975024975,0.497,0.4780701754385965,0.436,0.4560669456066946,0.48,0.9619002325089834,0.8755020080321285,0.9167128766110468,0.96579476861167
K-Means (Exclusive),0.0,0.6000000000000001,0.49800796812749004,0.5,0.499001996007984,0.498,0.504,0.504,0.504,0.504,1.012032,1.008,1.010016,1.0120481927710843
DBSCAN (Density),0.0,0.6000000000000001,0.6190476190476191,0.026,0.04990403071017274,0.505,0.5005025125628141,0.996,0.6662207357859532,0.501,0.8085040587553151,38.30769230769231,13.350038590172371,0.9920792079207921
Agglomerative (Hierarchical),0.0,0.6000000000000001,0.49122807017543857,0.392,0.4360400444938821,0.493,0.5160599571734475,0.482,0.4984488107549121,0.515,1.0505506271030898,1.2295918367346939,1.1431262267057805,1.0446247464503042
GMM (Probabilistic),0.0,0.6000000000000001,0.4980769230769231,0.518,0.5078431372549019,0.498,0.5,0.51,0.504950495049505,0.5,1.0038610038610039,0.9845559845559846,0.9943040636109943,1.0040160642570282
SOM,0.0,0.7000000000000002,0.4954545454545455,0.436,0.46382978723404256,0.496,0.4694736842105263,0.446,0.4574358974358974,0.471,0.9475615644616127,1.0229357798165137,0.9862150082333568,0.9495967741935484
K-Means (Exclusive),0.0,0.7000000000000002,0.5251641137855579,0.48,0.5015673981191222,0.523,0.4911504424778761,0.444,0.46638655462184875,0.492,0.9352323008849558,0.925,0.929858193277311,0.9407265774378585
DBSCAN (Density),0.0,0.7000000000000002,0.5,0.016,0.031007751937984496,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,62.5,21.5,1.0
Agglomerative (Hierarchical),0.0,0.7000000000000002,0.511326860841424,0.316,0.39060568603213847,0.507,0.49183673469387756,0.482,0.4868686868686869,0.492,0.9618832343063808,1.5253164556962024,1.2464454673315433,0.9704142011834319
GMM (Probabilistic),0.0,0.7000000000000002,0.5191387559808612,0.434,0.47276688453159044,0.516,0.491725768321513,0.416,0.4507042253521127,0.493,0.9471952587944352,0.9585253456221198,0.953332900629584,0.9554263565891472
SOM,0.0,0.8000000000000003,0.5172413793103449,0.42,0.46357615894039733,0.514,0.4873417721518987,0.462,0.47433264887063653,0.488,0.9421940928270042,1.1,1.0232032854209445,0.9494163424124513
K-Means (Exclusive),0.0,0.8000000000000003,0.4916317991631799,0.47,0.48057259713701433,0.492,0.4959016393442623,0.484,0.4898785425101215,0.496,1.0086850366236484,1.0297872340425531,1.0193642863295718,1.008130081300813
DBSCAN (Density),0.0,0.8000000000000003,0.631578947368421,0.024,0.046242774566473986,0.505,0.5,1.0,0.6666666666666666,0.5,0.7916666666666667,41.666666666666664,14.416666666666666,0.9900990099009901
Agglomerative (Hierarchical),0.0,0.8000000000000003,0.5058823529411764,0.258,0.34172185430463575,0.503,0.46273291925465837,0.298,0.36253041362530414,0.476,0.9147046078289759,1.1550387596899223,1.0608932646787002,0.9463220675944334
GMM (Probabilistic),0.0,0.8000000000000003,0.4849137931034483,0.45,0.46680497925311204,0.486,0.5056433408577878,0.448,0.4750795334040297,0.505,1.0427489340356157,0.9955555555555555,1.017725933781077,1.0390946502057614
SOM,0.5,0.2,0.013392857142857142,0.006,0.008287292817679558,0.282,0.48470588235294115,0.412,0.4454054054054054,0.487,36.19137254901961,68.66666666666666,53.74558558558559,1.7269503546099292
K-Means (Exclusive),0.5,0.2,0.9755102040816327,0.956,0.9656565656565657,0.966,0.5114345114345115,0.492,0.5015290519877675,0.511,0.5242738715542062,0.5146443514644352,0.5193658592760354,0.5289855072463768
DBSCAN (Density),0.5,0.2,0.7142857142857143,0.01,0.01972386587771203,0.503,0.5,1.0,0.6666666666666666,0.5,0.7,100.0,33.8,0.9940357852882704
Agglomerative (Hierarchical),0.5,0.2,0.04065040650406504,0.04,0.04032258064516129,0.048,0.4602739726027397,0.336,0.3884393063583815,0.471,11.322739726027397,8.4,9.63329479768786,9.8125
GMM (Probabilistic),0.5,0.2,0.9753086419753086,0.948,0.9614604462474645,0.962,0.5120350109409191,0.468,0.4890282131661442,0.511,0.5249979226103094,0.49367088607594944,0.5086306098964327,0.5311850311850312
SOM,0.5,0.30000000000000004,0.5442307692307692,0.566,0.5549019607843138,0.546,0.4461538461538462,0.464,0.4549019607843137,0.444,0.8197879858657245,0.8197879858657245,0.8197879858657243,0.8131868131868132
K-Means (Exclusive),0.5,0.30000000000000004,0.9058577405857741,0.866,0.885480572597137,0.888,0.49272349272349275,0.474,0.4831804281345566,0.493,0.5439303222213153,0.5473441108545034,0.5456702756531135,0.5551801801801801
DBSCAN (Density),0.5,0.30000000000000004,0.3333333333333333,0.006,0.011787819253438114,0.497,0.5,1.0,0.6666666666666666,0.5,1.5,166.66666666666666,56.55555555555555,1.0060362173038229
Agglomerative (Hierarchical),0.5,0.30000000000000004,0.9510869565217391,0.7,0.8064516129032258,0.832,0.514161220043573,0.472,0.4921793534932221,0.513,0.5406037970743853,0.6742857142857143,0.6103023983315955,0.6165865384615385
GMM (Probabilistic),0.5,0.30000000000000004,0.909853249475891,0.868,0.8884339815762539,0.891,0.463519313304721,0.432,0.4472049689440994,0.466,0.5094440378948201,0.4976958525345622,0.5033631966110428,0.5230078563411897
SOM,0.5,0.4000000000000001,0.4684873949579832,0.446,0.4569672131147541,0.47,0.45689655172413796,0.318,0.375,0.47,0.9752590072676667,0.7130044843049327,0.820627802690583,1.0
K-Means (Exclusive),0.5,0.4000000000000001,0.8179959100204499,0.8,0.8088978766430738,0.811,0.5137420718816068,0.486,0.499486125385406,0.513,0.6280496828752643,0.6074999999999999,0.6174897225077082,0.6325524044389642
DBSCAN (Density),0.5,0.4000000000000001,0.6875,0.022,0.04263565891472868,0.506,0.5,1.0,0.6666666666666666,0.5,0.7272727272727273,45.45454545454546,15.636363636363635,0.9881422924901185
Agglomerative (Hierarchical),0.5,0.4000000000000001,0.7833935018050542,0.868,0.8235294117647058,0.814,0.49693251533742333,0.324,0.3922518159806295,0.498,0.6343332108224251,0.37327188940092165,0.4763057765479073,0.6117936117936118
GMM (Probabilistic),0.5,0.4000000000000001,0.820040899795501,0.802,0.8109201213346815,0.813,0.5431818181818182,0.478,0.5085106382978724,0.538,0.6623838131942871,0.5960099750623441,0.6270785801453812,0.6617466174661748
SOM,0.5,0.5000000000000001,0.4923413566739606,0.45,0.4702194357366771,0.493,0.5396825396825397,0.544,0.5418326693227091,0.54,1.0961552028218695,1.208888888888889,1.1522974767596281,1.0953346855983774
K-Means (Exclusive),0.5,0.5000000000000001,0.7416173570019724,0.752,0.746772591857001,0.745,0.46306306306306305,0.514,0.4872037914691943,0.459,0.6243962047153536,0.6835106382978724,0.6524125239487748,0.6161073825503356
DBSCAN (Density),0.5,0.5000000000000001,0.36363636363636365,0.008,0.015655577299412915,0.497,0.5,1.0,0.6666666666666666,0.5,1.375,125.0,42.583333333333336,1.0060362173038229
Agglomerative (Hierarchical),0.5,0.5000000000000001,0.3284789644012945,0.406,0.3631484794275492,0.288,0.590443686006826,0.692,0.6372007366482505,0.606,1.7975083642966427,1.7044334975369455,1.754656215696414,2.104166666666667
GMM (Probabilistic),0.5,0.5000000000000001,0.7328094302554028,0.746,0.7393458870168483,0.737,0.4763458401305057,0.584,0.5247079964061097,0.471,0.6500268971217892,0.7828418230563002,0.709692182806655,0.6390773405698779
SOM,0.5,0.6000000000000001,0.34797297297297297,0.206,0.25879396984924624,0.41,0.4666666666666667,0.392,0.4260869565217391,0.472,1.3411003236245955,1.9029126213592236,1.6464330941325453,1.1512195121951219
K-Means (Exclusive),0.5,0.6000000000000001,0.7194388777555111,0.718,0.7187187187187187,0.719,0.49032258064516127,0.456,0.47253886010362695,0.491,0.6815347290861712,0.6350974930362118,0.6574739850188347,0.6828929068150209
DBSCAN (Density),0.5,0.6000000000000001,0.4375,0.014,0.027131782945736434,0.498,0.5,1.0,0.6666666666666666,0.5,1.1428571428571428,71.42857142857143,24.57142857142857,1.0040160642570282
Agglomerative (Hierarchical),0.5,0.6000000000000001,0.2118380062305296,0.136,0.1656516443361754,0.315,0.5213675213675214,0.366,0.4300822561692127,0.515,2.461161387631976,2.691176470588235,2.5963053846685558,1.6349206349206349
GMM (Probabilistic),0.5,0.6000000000000001,0.7248995983935743,0.722,0.7234468937875751,0.724,0.47641509433962265,0.404,0.43722943722943725,0.48,0.6572152824962108,0.5595567867036012,0.6043697761149286,0.6629834254143646
SOM,0.5,0.7000000000000002,0.44419134396355353,0.39,0.41533546325878595,0.451,0.4866666666666667,0.438,0.4610526315789474,0.488,1.0956239316239318,1.123076923076923,1.1100728744939272,1.082039911308204
K-Means (Exclusive),0.5,0.7000000000000002,0.6975308641975309,0.678,0.6876267748478702,0.692,0.5623721881390593,0.55,0.5561172901921132,0.561,0.8062326945002444,0.8112094395280236,0.8087487435537222,0.8106936416184972
DBSCAN (Density),0.5,0.7000000000000002,0.5217391304347826,0.024,0.045889101338432124,0.501,0.5,1.0,0.6666666666666666,0.5,0.9583333333333334,41.666666666666664,14.527777777777777,0.998003992015968
Agglomerative (Hierarchical),0.5,0.7000000000000002,0.5306553911205074,0.502,0.5159301130524152,0.529,0.3861788617886179,0.19,0.2546916890080429,0.444,0.7277394487092281,0.3784860557768924,0.4936554051888959,0.8393194706994329
GMM (Probabilistic),0.5,0.7000000000000002,0.7073684210526315,0.672,0.6892307692307692,0.697,0.5479166666666667,0.526,0.536734693877551,0.546,0.7745845734126985,0.7827380952380952,0.7787445335276968,0.7833572453371593
SOM,0.5,0.8000000000000003,0.4884393063583815,0.338,0.39952718676122934,0.492,0.528344671201814,0.466,0.4952178533475027,0.525,1.0816997410404003,1.378698224852071,1.2395097749467079,1.0670731707317074
K-Means (Exclusive),0.5,0.8000000000000003,0.6686159844054581,0.686,0.6771964461994077,0.673,0.603082851637765,0.626,0.6143277723258096,0.607,0.9019868888926339,0.912536443148688,0.9071633139446722,0.9019316493313521
DBSCAN (Density),0.5,0.8000000000000003,0.5217391304347826,0.024,0.045889101338432124,0.501,0.5,1.0,0.6666666666666666,0.5,0.9583333333333334,41.666666666666664,14.527777777777777,0.998003992015968
Agglomerative (Hierarchical),0.5,0.8000000000000003,0.6198738170347003,0.786,0.6931216931216931,0.652,0.6043737574552683,0.608,0.6061814556331007,0.605,0.9749948148260562,0.7735368956743002,0.8745671382798169,0.9279141104294478
GMM (Probabilistic),0.5,0.8000000000000003,0.659047619047619,0.692,0.6751219512195122,0.667,0.5955056179775281,0.636,0.6150870406189555,0.602,0.9035851139832436,0.9190751445086706,0.9110754575642042,0.9025487256371814
SOM,1.0,0.2,0.31268436578171094,0.212,0.2526817640047676,0.373,0.3209549071618037,0.242,0.2759407069555302,0.365,1.02645012762124,1.1415094339622642,1.0920483638475935,0.9785522788203753
K-Means (Exclusive),1.0,0.2,1.0,1.0,1.0,1.0,0.6812227074235808,0.624,0.651356993736952,0.666,0.6812227074235808,0.624,0.651356993736952,0.666
DBSCAN (Density),1.0,0.2,1.0,1.0,1.0,1.0,0.5105263157894737,0.97,0.6689655172413793,0.52,0.5105263157894737,0.97,0.6689655172413793,0.52
Agglomerative (Hierarchical),1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMM (Probabilistic),1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1.0,0.30000000000000004,0.14559386973180077,0.076,0.09986859395532194,0.315,0.5292887029288703,0.506,0.5173824130879345,0.528,3.635377670116714,6.657894736842105,5.18063179420945,1.6761904761904762
K-Means (Exclusive),1.0,0.30000000000000004,0.9939879759519038,0.992,0.992992992992993,0.993,0.5966542750929368,0.642,0.6184971098265896,0.604,0.600263071111644,0.6471774193548387,0.6228615047548014,0.608257804632427
DBSCAN (Density),1.0,0.30000000000000004,0.6666666666666666,0.004,0.007952286282306162,0.501,0.5025380710659898,0.99,0.6666666666666666,0.505,0.7538071065989848,247.5,83.83333333333334,1.0079840319361277
Agglomerative (Hierarchical),1.0,0.30000000000000004,0.0099601593625498,0.01,0.00998003992015968,0.008,0.008733624454148471,0.008,0.008350730688935281,0.05,0.8768558951965065,0.8,0.8367432150313151,6.25
GMM (Probabilistic),1.0,0.30000000000000004,0.9959839357429718,0.992,0.9939879759519038,0.994,0.5975820379965457,0.692,0.6413345690454124,0.613,0.5999916429884673,0.6975806451612903,0.645213608777542,0.6167002012072434
SOM,1.0,0.4000000000000001,0.3228346456692913,0.246,0.2792281498297389,0.365,0.4968944099378882,0.48,0.4883011190233978,0.497,1.5391607332222392,1.951219512195122,1.7487531945512742,1.3616438356164384
K-Means (Exclusive),1.0,0.4000000000000001,0.9528487229862476,0.97,0.9613478691774033,0.961,0.9524752475247524,0.962,0.9572139303482587,0.957,0.9996080432785546,0.9917525773195877,0.9956998512591682,0.9958376690946931
DBSCAN (Density),1.0,0.4000000000000001,1.0,0.006,0.011928429423459244,0.503,0.5,1.0,0.6666666666666666,0.5,0.5,166.66666666666666,55.888888888888886,0.9940357852882704
Agglomerative (Hierarchical),1.0,0.4000000000000001,0.007142857142857143,0.006,0.006521739130434782,0.086,0.9227557411273486,0.884,0.9029622063329928,0.905,129.1858037578288,147.33333333333334,138.4542049710589,10.52325581395349
GMM (Probabilistic),1.0,0.4000000000000001,0.9510763209393346,0.972,0.9614243323442137,0.961,0.952755905511811,0.968,0.9603174603174603,0.96,1.0017659829558343,0.9958847736625515,0.998848716441309,0.9989594172736732
SOM,1.0,0.5000000000000001,0.564625850340136,0.664,0.6102941176470589,0.576,0.46421267893660534,0.454,0.4590495449949444,0.465,0.8221598048636264,0.6837349397590361,0.7521775677025594,0.8072916666666667
K-Means (Exclusive),1.0,0.5000000000000001,0.8790170132325141,0.93,0.9037900874635568,0.901,0.8757396449704142,0.888,0.8818272095332671,0.881,0.9962715530953745,0.9548387096774194,0.9756991382900343,0.9778024417314095
DBSCAN (Density),1.0,0.5000000000000001,0.8,0.008,0.015841584158415842,0.503,0.4994974874371859,0.994,0.6648829431438127,0.499,0.6243718592964823,124.25,41.970735785953174,0.9920477137176938
Agglomerative (Hierarchical),1.0,0.5000000000000001,0.07568807339449542,0.066,0.07051282051282051,0.13,0.8034351145038168,0.842,0.822265625,0.818,10.615082118898911,12.757575757575756,11.661221590909092,6.292307692307691
GMM (Probabilistic),1.0,0.5000000000000001,0.8698884758364313,0.936,0.9017341040462428,0.898,0.8901734104046243,0.924,0.9067713444553483,0.905,1.0233190059779655,0.9871794871794871,1.0055861704536877,1.0077951002227172
SOM,1.0,0.6000000000000001,0.4577777777777778,0.412,0.4336842105263158,0.462,0.4080604534005038,0.324,0.3612040133779264,0.427,0.8913941943214888,0.7864077669902914,0.8328733318180342,0.9242424242424242
K-Means (Exclusive),1.0,0.6000000000000001,0.8747553816046967,0.894,0.884272997032641,0.883,0.17341040462427745,0.18,0.17664376840039253,0.161,0.1982387399619816,0.20134228187919462,0.19976157701655128,0.1823329558323896
DBSCAN (Density),1.0,0.6000000000000001,0.7272727272727273,0.016,0.03131115459882583,0.505,0.5,1.0,0.6666666666666666,0.5,0.6875,62.5,21.291666666666668,0.9900990099009901
Agglomerative (Hierarchical),1.0,0.6000000000000001,0.12170385395537525,0.12,0.12084592145015106,0.127,0.17848970251716248,0.156,0.1664887940234792,0.219,1.4665903890160183,1.3,1.3776947705442901,1.7244094488188977
GMM (Probabilistic),1.0,0.6000000000000001,0.8696498054474708,0.894,0.8816568047337278,0.88,0.1214574898785425,0.12,0.12072434607645875,0.126,0.13966252751134417,0.1342281879194631,0.13692895628806395,0.1431818181818182
SOM,1.0,0.7000000000000002,0.5145067698259188,0.532,0.5231071779744346,0.515,0.5049900199600799,0.506,0.5054945054945055,0.505,0.9815031590953431,0.9511278195488722,0.9663306618193835,0.9805825242718447
K-Means (Exclusive),1.0,0.7000000000000002,0.14910536779324055,0.15,0.14955134596211367,0.147,0.8152610441767069,0.812,0.8136272545090181,0.814,5.467684069611781,5.413333333333334,5.440454241816967,5.537414965986395
DBSCAN (Density),1.0,0.7000000000000002,0.5625,0.018,0.03488372093023256,0.502,0.49748743718592964,0.99,0.6622073578595318,0.495,0.8844221105527638,55.00000000000001,18.983277591973245,0.9860557768924303
Agglomerative (Hierarchical),1.0,0.7000000000000002,0.8507795100222717,0.764,0.8050579557428873,0.815,0.821917808219178,0.6,0.6936416184971098,0.735,0.9660761672523847,0.7853403141361256,0.8616045758557032,0.901840490797546
GMM (Probabilistic),1.0,0.7000000000000002,0.1504950495049505,0.152,0.15124378109452735,0.147,0.8071570576540755,0.812,0.8095712861415753,0.809,5.363346238359318,5.342105263157896,5.352757516922916,5.503401360544219
SOM,1.0,0.8000000000000003,0.52994555353902,0.584,0.5556612749762131,0.533,0.4883227176220807,0.46,0.4737384140061792,0.489,0.9214582788005701,0.7876712328767124,0.8525669060282438,0.9174484052532832
K-Means (Exclusive),1.0,0.8000000000000003,0.8185483870967742,0.812,0.8152610441767069,0.816,0.803347280334728,0.768,0.7852760736196319,0.79,0.9814291897685347,0.9458128078817734,0.9632204055728489,0.9681372549019609
DBSCAN (Density),1.0,0.8000000000000003,0.38461538461538464,0.01,0.01949317738791423,0.497,0.5,1.0,0.6666666666666666,0.5,1.2999999999999998,100.0,34.2,1.0060362173038229
Agglomerative (Hierarchical),1.0,0.8000000000000003,0.7150259067357513,0.828,0.7673772011121409,0.749,0.7392197125256673,0.72,0.729483282674772,0.733,1.0338362646192305,0.8695652173913043,0.950618915466279,0.9786381842456608
GMM (Probabilistic),1.0,0.8000000000000003,0.8204081632653061,0.804,0.8121212121212121,0.814,0.8199566160520607,0.756,0.7866805411030177,0.795,0.9994496066306213,0.9402985074626865,0.9686738006119248,0.9766584766584768
SOM,1.5,0.2,0.7507598784194529,0.988,0.853195164075993,0.83,0.6141732283464567,0.78,0.6872246696035242,0.645,0.8180687940323249,0.7894736842105263,0.8054718293531186,0.7771084337349398
K-Means (Exclusive),1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DBSCAN (Density),1.5,0.2,1.0,1.0,1.0,1.0,0.5011086474501109,0.904,0.644793152639087,0.502,0.5011086474501109,0.904,0.644793152639087,0.502
Agglomerative (Hierarchical),1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GMM (Probabilistic),1.5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1.5,0.30000000000000004,0.08,0.028,0.04148148148148148,0.353,0.3501199040767386,0.292,0.31842966194111233,0.375,4.376498800959232,10.428571428571427,7.676429350366101,1.0623229461756374
K-Means (Exclusive),1.5,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DBSCAN (Density),1.5,0.30000000000000004,0.0,0.0,0.0,0.5,0.502079002079002,0.966,0.6607387140902873,0.504,0.0,0.0,0.0,1.008
Agglomerative (Hierarchical),1.5,0.30000000000000004,1.0,0.998,0.998998998998999,0.999,1.0,1.0,1.0,1.0,1.0,1.002004008016032,1.001002004008016,1.001001001001001
GMM (Probabilistic),1.5,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SOM,1.5,0.4000000000000001,0.5477031802120141,0.62,0.5816135084427767,0.554,0.3352272727272727,0.236,0.27699530516431925,0.384,0.6120601173020528,0.38064516129032255,0.476253218234136,0.6931407942238267
K-Means (Exclusive),1.5,0.4000000000000001,0.9979919678714859,0.994,0.9959919839679359,0.996,0.99,0.99,0.99,0.99,0.9919919517102616,0.9959758551307847,0.9939839034205231,0.9939759036144579
DBSCAN (Density),1.5,0.4000000000000001,1.0,0.002,0.003992015968063872,0.501,0.5050505050505051,1.0,0.6711409395973155,0.51,0.5050505050505051,500.0,168.12080536912754,1.0179640718562875
Agglomerative (Hierarchical),1.5,0.4000000000000001,0.004032258064516129,0.004,0.004016064257028112,0.008,0.011976047904191617,0.012,0.011988011988011988,0.011,2.9700598802395213,3.0,2.985014985014985,1.375
GMM (Probabilistic),1.5,0.4000000000000001,0.9959919839679359,0.994,0.994994994994995,0.995,0.9959839357429718,0.992,0.9939879759519038,0.994,0.9999919193878127,0.9979879275653923,0.9989879154687645,0.9989949748743718
SOM,1.5,0.5000000000000001,0.0038022813688212928,0.002,0.002621231979030144,0.239,0.5069306930693069,0.512,0.5094527363184079,0.507,133.32277227722773,256.0,194.35621890547262,2.1213389121338913
K-Means (Exclusive),1.5,0.5000000000000001,0.9879759519038076,0.986,0.986986986986987,0.987,0.9820717131474104,0.986,0.9840319361277445,0.984,0.9940239043824701,1.0,0.9970059880239521,0.9969604863221885
DBSCAN (Density),1.5,0.5000000000000001,1.0,0.002,0.003992015968063872,0.501,0.5015197568389058,0.99,0.6657700067249496,0.503,0.5015197568389058,495.0,166.77538668459988,1.003992015968064
Agglomerative (Hierarchical),1.5,0.5000000000000001,0.9860279441117764,0.988,0.987012987012987,0.987,0.9838709677419355,0.976,0.9799196787148594,0.98,0.9978124591876715,0.9878542510121457,0.9928133586979496,0.9929078014184397
GMM (Probabilistic),1.5,0.5000000000000001,0.9879759519038076,0.986,0.986986986986987,0.987,0.9840319361277445,0.986,0.985014985014985,0.985,0.9960079840319361,1.0,0.998001998001998,0.9979736575481256
SOM,1.5,0.6000000000000001,0.23728813559322035,0.14,0.1761006289308176,0.345,0.3425414364640884,0.248,0.2877030162412993,0.386,1.4435674822415154,1.7714285714285714,1.633742127941664,1.118840579710145
K-Means (Exclusive),1.5,0.6000000000000001,0.9660678642714571,0.968,0.967032967032967,0.967,0.9485148514851485,0.958,0.9532338308457712,0.953,0.98183045577285,0.9896694214876033,0.9857304387155134,0.9855222337125129
DBSCAN (Density),1.5,0.6000000000000001,0.25,0.002,0.003968253968253968,0.498,0.5025125628140703,1.0,0.6688963210702341,0.505,2.0100502512562812,500.0,168.56187290969902,1.0140562248995983
Agglomerative (Hierarchical),1.5,0.6000000000000001,0.022774327122153208,0.022,0.022380467955239063,0.039,0.03488372093023256,0.03,0.03225806451612903,0.1,1.5317124735729388,1.3636363636363638,1.4413489736070382,2.5641025641025643
GMM (Probabilistic),1.5,0.6000000000000001,0.9622266401590457,0.968,0.9651046859421735,0.965,0.951171875,0.974,0.9624505928853755,0.962,0.9885112667871901,1.006198347107438,0.9972499428347434,0.9968911917098445
SOM,1.5,0.7000000000000002,0.6277128547579299,0.752,0.6842584167424932,0.653,0.24739583333333334,0.19,0.2149321266968326,0.306,0.39412261746453897,0.2526595744680851,0.314109584095504,0.46860643185298617
K-Means (Exclusive),1.5,0.7000000000000002,0.9187620889748549,0.95,0.9341199606686332,0.933,0.9106796116504854,0.938,0.9241379310344827,0.923,0.9912028615227388,0.9873684210526316,0.9893139745916515,0.9892818863879957
DBSCAN (Density),1.5,0.7000000000000002,0.75,0.006,0.011904761904761904,0.502,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,166.66666666666666,56.0,0.9960159362549801
